ANR Pipeline Company,PTS-2,FSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Eastern Transmission, LP",FT-1M1,FT-1MX,X-130,NA,FT1NJNY,FT1TM12,FT1TM14,FT-1OPN,MLS-1BW,FT-1TMX,LLFT,X-135,X-137,MLS-1HR,MLS-1FA,FT-1OPX,FT-1LBE,MLS-1HS,FT1TME3,FT-1ACS,FT-1PLP,FT-1PEP,FT-1LX,FT-1IRW,FT1TXIM,FT-1LEP,FT-1GM3,FT-1GM1,X-127,X-129,MLS-1FH,FT-1TME,FT1TME2,FT-1NC,MLS-1CB,FT-1L1A,FT-1RIV,FT-1GM2,FT-1ASW,FT-1SR,X-28,X-128,FT-1MEP
"Tennessee Gas Pipeline Company, L.L.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia Gulf Transmission, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trunkline Gas Company, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gulf South Pipeline Company, LP",NNS-SCO,FTS-SCO,FSS-P,FSS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enable Gas Transmission, LLC",EFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ozark Gas Transmission, L.L.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas Pipeline Company of America LLC,FTSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southern Natural Gas Company, L.L.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans-Union Interstate Pipeline LP,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,